ID;Country;State ;Municipality;Study_location;Species;Latitude;Longitude;Precision;Reserve_Area;Altitude;Altitude1km;Annual_mean_temperature;Annual_rainfall;Olsong200r;Olsoneconame;ribeirovegtype;BSRs;uc;protectedtype;ID;Year_start;Year_finish ;Duration;Season;Method;Strata_sampling ;Nights;hours_per_night;number_of_mistnets;effort_straube_bianconi;Sampling_habitat;community;Authors;Type;References;Voucher_Specimens
bat1001;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Anoura.caudifer;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1002;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Anoura.geoffroyi;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1003;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Artibeus.cinereus;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1004;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Artibeus.fimbriatus;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1005;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Artibeus.lituratus;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1006;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Artibeus.obscurus;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1007;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Artibeus.sp.;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1008;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Carollia.perspicillata;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1009;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Chiroderma.doriae;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1010;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Chrotopterus.auritus;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
