ID;Frugivore_Species;Plant_Species;Type of Interaction;Plant_family;Plant_genus;Plant_specific.epiteth;Plant_distribution;Plant_origin;Plant_Form;fruit_diameter;fruit_length;seed_diameter;seed_length;Fruit_color;Lipid_Score;Plants_IUCN;Frug_Class;Frug_Order;Frug_Family;Frug_Genus;Frug_Epitetus;Frug_Group;Frug_Body_Mass;Frug_Mean_Gape_Size;Frugivory_score;Frug_Migration_status;Frug_IUCN;Frug_Population_Trend;Study_Location;Latitude;Longitude;Precision;Study reference;Doi/Link;Study_Method
1192;Brachyteles arachnoides;Abuta selloana;Mutualistic;Menispermaceae;Abuta;selloana;BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;liana;17;32;13.2;NA;yellow;1;LC;Mammalia;Primates;Atelidae;Brachyteles;arachnoides;Primates;10750;NA;3;NA;EN;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1193;Brachyteles arachnoides;Abuta selloana;Mutualistic;Menispermaceae;Abuta;selloana;BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;liana;17;32;13.2;NA;yellow;1;LC;Mammalia;Primates;Atelidae;Brachyteles;arachnoides;Primates;10750;NA;3;NA;EN;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1195;Sapajus nigritus;Abuta selloana;Mutualistic;Menispermaceae;Abuta;selloana;BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;liana;17;32;13.2;NA;yellow;1;LC;Mammalia;Primates;Cebidae;Sapajus;nigritus;Primates;3500;NA;2;NA;NT;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
4268;Brachyteles arachnoides;Abuta selloana;Mutualistic;Menispermaceae;Abuta;selloana;BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;liana;17;32;13.2;NA;yellow;1;LC;Mammalia;Primates;Atelidae;Brachyteles;arachnoides;Primates;10750;NA;3;NA;EN;Decreasing;Reserva Biol¢gica Augusto Ruschi, ES;-19,87;-40,55;preciso;Hilario 2010;https://scholar.google.com/citations?view_op=view_citation&hl=es&user=ZNY27dYAAAAJ&cstart=100&sortby=pubdate&citation_for_view=ZNY27dYAAAAJ:BqipwSGYUEgC;Animal-oriented
4269;Brachyteles arachnoides;Abuta selloana;Mutualistic;Menispermaceae;Abuta;selloana;BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;liana;17;32;13.2;NA;yellow;1;LC;Mammalia;Primates;Atelidae;Brachyteles;arachnoides;Primates;10750;NA;3;NA;EN;Decreasing;Parque Estadual de Intervales;-24,31;-48,27;preciso;Izar 2008;https://www.researchgate.net/publication/265466040_DISPERSAO_DE_SEMENTES_POR_CEBUS_NIGRITUS_E_BRACHYTELES_ARACHNOIDES_EM_AREA_DE_MATA_ATLANTICA_PARQUE_ESTADUAL_INTERVALES_SP;Animal-oriented
4270;Brachyteles arachnoides;Abuta selloana;Mutualistic;Menispermaceae;Abuta;selloana;BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;liana;17;32;13.2;NA;yellow;1;LC;Mammalia;Primates;Atelidae;Brachyteles;arachnoides;Primates;10750;NA;3;NA;EN;Decreasing;Fragmento Urbano de Aquidauana, MS;-20,47;-55,79;impreciso;Junior;NA;Animal-oriented
1209;Dasyprocta leporina;Acrocomia aculeata;Mutualistic;Arecaceae;Acrocomia;aculeata;BR-AM|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RR|BR-SP|BR-TO;native;palm;36;33;31.6;31.6;yellow;3;NE;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;leporina;Rodents;5500;NA;3;NA;LC;Stable;NA;NA;NA;NA;MAPizo unpublished;NA;Animal-oriented
1210;Tapirus terrestris;Acrocomia aculeata;Mutualistic;Arecaceae;Acrocomia;aculeata;BR-AM|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RR|BR-SP|BR-TO;native;palm;36;33;31.6;31.6;yellow;3;NE;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Ungulates;260000;NA;1;NA;VU;Decreasing;NA;NA;NA;NA;O'Farrill et al  2013;10.1111/j.1749-4877.2012.00316.x;Animal-oriented
4409;Tapirus terrestris;Acrocomia aculeata;Mutualistic;Arecaceae;Acrocomia;aculeata;BR-AM|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RR|BR-SP|BR-TO;native;palm;36;33;31.6;31.6;yellow;3;NE;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Ungulates;260000;NA;1;NA;VU;Decreasing;Parque Nacional da Tijuca, RJ;-22,96;-43,27;preciso;Cunha 2006;NA;Animal-oriented
5064;Dasyprocta leporina;Acrocomia aculeata;Mutualistic;Arecaceae;Acrocomia;aculeata;BR-AM|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RR|BR-SP|BR-TO;native;palm;36;33;31.6;31.6;yellow;3;NE;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;leporina;Rodents;5500;NA;3;NA;LC;Stable;NA;NA;NA;NA;MAPizo unpublished;NA;Animal-oriented
