ID;Reference_paper_number;Country;State;Municipality;Study_location;Latitude;Longitude;Precision;Size_ha;Temperature;Altitude;Annual_rainfall;Vegetation_type;Protect_area;Matrix;Reference;Publication_year;Type_of_publication;Month_start;Year_start;Month_finish;Year_finish;Total_of_months;Sampling_habitat;Effort;Effort_method;Method;Order;Genus_on_paper;Species_name_on_paper;Actual_species_Name;Number_of_record;Density(groups/km2);Density(ind/km2);Density(ind/km10);Abundance(%);Abudance_relative;Abundance(10/km);Voucher_Specimens
AML01;1;Brazil;rio_grande_do_sul;Sinimbu;Reserva Particular do Patrimonio Natural Universidade de Santa Cruz do Sul;-29,38;-52,53;not_precise;221;18;150-650;NA;Semideciduous forest;yes;NA;Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174;2009;Article;November;2007;April;2009;6;Interior;109;camera_days;mixed_method;Carnivora;Cerdocyon;Cerdocyon thous;Cerdocyon thous;NA;NA;NA;NA;NA;NA;NA;NA
AML01;1;Brazil;rio_grande_do_sul;Sinimbu;Reserva Particular do Patrimonio Natural Universidade de Santa Cruz do Sul;-29,38;-52,53;not_precise;221;18;150-650;NA;Semideciduous forest;yes;NA;Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174;2009;Article;November;2007;April;2009;6;Interior;109;camera_days;mixed_method;Rodentia;Cuniculus;Cuniculus paca;Cuniculus paca;NA;NA;NA;NA;NA;NA;NA;NA
AML01;1;Brazil;rio_grande_do_sul;Sinimbu;Reserva Particular do Patrimonio Natural Universidade de Santa Cruz do Sul;-29,38;-52,53;not_precise;221;18;150-650;NA;Semideciduous forest;yes;NA;Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174;2009;Article;November;2007;April;2009;6;Interior;109;camera_days;mixed_method;Cingulata;Dasypus;Dasypus novemcinctus;Dasypus novemcinctus;NA;NA;NA;NA;NA;NA;NA;NA
AML01;1;Brazil;rio_grande_do_sul;Sinimbu;Reserva Particular do Patrimonio Natural Universidade de Santa Cruz do Sul;-29,38;-52,53;not_precise;221;18;150-650;NA;Semideciduous forest;yes;NA;Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174;2009;Article;November;2007;April;2009;6;Interior;109;camera_days;mixed_method;Primates;Cebus;Cebus nigritus;Sapajus nigritus;NA;NA;NA;NA;NA;NA;NA;NA
AML01;1;Brazil;rio_grande_do_sul;Sinimbu;Reserva Particular do Patrimonio Natural Universidade de Santa Cruz do Sul;-29,38;-52,53;not_precise;221;18;150-650;NA;Semideciduous forest;yes;NA;Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174;2009;Article;November;2007;April;2009;6;Interior;109;camera_days;mixed_method;Primates;Alouatta;Alouatta guariba;Alouatta guariba;NA;NA;NA;NA;NA;NA;NA;NA
AML01;1;Brazil;rio_grande_do_sul;Sinimbu;Reserva Particular do Patrimonio Natural Universidade de Santa Cruz do Sul;-29,38;-52,53;not_precise;221;18;150-650;NA;Semideciduous forest;yes;NA;Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174;2009;Article;November;2007;April;2009;6;Interior;109;camera_days;mixed_method;Carnivora;Leopardus;Leopardus wiedii;Leopardus wiedii;NA;NA;NA;NA;NA;NA;NA;NA
AML01;1;Brazil;rio_grande_do_sul;Sinimbu;Reserva Particular do Patrimonio Natural Universidade de Santa Cruz do Sul;-29,38;-52,53;not_precise;221;18;150-650;NA;Semideciduous forest;yes;NA;Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174;2009;Article;November;2007;April;2009;6;Interior;109;camera_days;mixed_method;Carnivora;Lontra;Lontra longicaudis;Lontra longicaudis;NA;NA;NA;NA;NA;NA;NA;NA
AML01;1;Brazil;rio_grande_do_sul;Sinimbu;Reserva Particular do Patrimonio Natural Universidade de Santa Cruz do Sul;-29,38;-52,53;not_precise;221;18;150-650;NA;Semideciduous forest;yes;NA;Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174;2009;Article;November;2007;April;2009;6;Interior;109;camera_days;mixed_method;Carnivora;Eira;Eira barbara;Eira barbara;NA;NA;NA;NA;NA;NA;NA;NA
AML01;1;Brazil;rio_grande_do_sul;Sinimbu;Reserva Particular do Patrimonio Natural Universidade de Santa Cruz do Sul;-29,38;-52,53;not_precise;221;18;150-650;NA;Semideciduous forest;yes;NA;Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174;2009;Article;November;2007;April;2009;6;Interior;109;camera_days;mixed_method;Carnivora;Nasua;Nasua nasua;Nasua nasua;NA;NA;NA;NA;NA;NA;NA;NA
AML01;1;Brazil;rio_grande_do_sul;Sinimbu;Reserva Particular do Patrimonio Natural Universidade de Santa Cruz do Sul;-29,38;-52,53;not_precise;221;18;150-650;NA;Semideciduous forest;yes;NA;Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174;2009;Article;November;2007;April;2009;6;Interior;109;camera_days;mixed_method;Carnivora;Procyon;Procyon cancrivorus;Procyon cancrivorus;NA;NA;NA;NA;NA;NA;NA;NA
AML01;1;Brazil;rio_grande_do_sul;Sinimbu;Reserva Particular do Patrimonio Natural Universidade de Santa Cruz do Sul;-29,38;-52,53;not_precise;221;18;150-650;NA;Semideciduous forest;yes;NA;Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174;2009;Article;November;2007;April;2009;6;Interior;109;camera_days;mixed_method;Artiodactyla;Mazama;Mazama sp.;Mazama sp.;NA;NA;NA;NA;NA;NA;NA;NA
AML01;1;Brazil;rio_grande_do_sul;Sinimbu;Reserva Particular do Patrimonio Natural Universidade de Santa Cruz do Sul;-29,38;-52,53;not_precise;221;18;150-650;NA;Semideciduous forest;yes;NA;Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174;2009;Article;November;2007;April;2009;6;Interior;109;camera_days;mixed_method;Rodentia;Cuniculus;Cuniculus paca;Cuniculus paca;NA;NA;NA;NA;NA;NA;NA;NA
AML01;1;Brazil;rio_grande_do_sul;Sinimbu;Reserva Particular do Patrimonio Natural Universidade de Santa Cruz do Sul;-29,38;-52,53;not_precise;221;18;150-650;NA;Semideciduous forest;yes;NA;Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174;2009;Article;November;2007;April;2009;6;Interior;109;camera_days;mixed_method;Rodentia;Hydrochoerus;Hydrochoerus hydrochaeris;Hydrochoerus hydrochaeris;NA;NA;NA;NA;NA;NA;NA;NA
AML02;2;Brazil;rio_de_janeiro;Cambuci;Esmeralda Farm;-21,48;-41,87;not_precise;1000;NA;200-650;1276;Semideciduous forest;no;Pastures;Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509;2013;Article;August;2006;August;2006;1;Interior;80;camera_days;cam_trap;Didelphimorphia;Didelphis;Didelphis aurita;Didelphis aurita;NA;NA;NA;NA;NA;NA;NA;NA
AML02;2;Brazil;rio_de_janeiro;Cambuci;Esmeralda Farm;-21,48;-41,87;not_precise;1000;NA;200-650;1276;Semideciduous forest;no;Pastures;Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509;2013;Article;August;2006;August;2006;1;Interior;80;camera_days;cam_trap;Carnivora;Nasua;Nasua nasua;Nasua nasua;NA;NA;NA;NA;NA;NA;NA;NA
AML02;2;Brazil;rio_de_janeiro;Cambuci;Esmeralda Farm;-21,48;-41,87;not_precise;1000;NA;200-650;1276;Semideciduous forest;no;Pastures;Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509;2013;Article;August;2006;August;2006;1;Interior;80;camera_days;cam_trap;Carnivora;Procyon;Procyon cancrivorus;Procyon cancrivorus;NA;NA;NA;NA;NA;NA;NA;NA
AML02;2;Brazil;rio_de_janeiro;Cambuci;Esmeralda Farm;-21,48;-41,87;not_precise;1000;NA;200-650;1276;Semideciduous forest;no;Pastures;Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509;2013;Article;August;2006;August;2006;1;Interior;80;camera_days;cam_trap;Rodentia;Cuniculus;Cuniculus paca;Cuniculus paca;NA;NA;NA;NA;NA;NA;NA;NA
AML02;2;Brazil;rio_de_janeiro;Cambuci;Esmeralda Farm;-21,48;-41,87;not_precise;1000;NA;200-650;1276;Semideciduous forest;no;Pastures;Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509;2013;Article;August;2006;August;2006;1;Interior;80;camera_days;cam_trap;Cingulata;Dasypus;Dasypus novemcinctus;Dasypus novemcinctus;NA;NA;NA;NA;NA;NA;NA;NA
AML03;3;Brazil;sao_paulo;Botucatu;Fazenda Experimental Edgardia;-22,82;-48,41;precise;1152;22;475-725;NA;Semideciduous forest;yes;Pastures and rice culture;Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.;2012;Article;March;2004;March;2005;12;Edge;242.55;kilometers;line_transect;Artiodactyla;Mazama;Mazama sp.;Mazama sp.;9;NA;NA;NA;16.4;NA;NA;NA
AML03;3;Brazil;sao_paulo;Botucatu;Fazenda Experimental Edgardia;-22,82;-48,41;precise;1152;22;475-725;NA;Semideciduous forest;yes;Pastures and rice culture;Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.;2012;Article;March;2004;March;2005;12;Edge;242.55;kilometers;line_transect;Carnivora;Puma;Puma concolor;Puma concolor;8;NA;NA;NA;20;NA;NA;NA
AML03;3;Brazil;sao_paulo;Botucatu;Fazenda Experimental Edgardia;-22,82;-48,41;precise;1152;22;475-725;NA;Semideciduous forest;yes;Pastures and rice culture;Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.;2012;Article;March;2004;March;2005;12;Edge;242.55;kilometers;line_transect;Carnivora;Cerdocyon;Cerdocyon thous;Cerdocyon thous;8;NA;NA;NA;20.9;NA;NA;NA
AML03;3;Brazil;sao_paulo;Botucatu;Fazenda Experimental Edgardia;-22,82;-48,41;precise;1152;22;475-725;NA;Semideciduous forest;yes;Pastures and rice culture;Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.;2012;Article;March;2004;March;2005;12;Edge;242.55;kilometers;line_transect;Carnivora;Procyon;Procyon cancrivorus;Procyon cancrivorus;7;NA;NA;NA;13.3;NA;NA;NA
AML03;3;Brazil;sao_paulo;Botucatu;Fazenda Experimental Edgardia;-22,82;-48,41;precise;1152;22;475-725;NA;Semideciduous forest;yes;Pastures and rice culture;Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.;2012;Article;March;2004;March;2005;12;Edge;242.55;kilometers;line_transect;Cingulata;Dasypus;Dasypus novemcinctus;Dasypus novemcinctus;7;NA;NA;NA;5.78;NA;NA;NA
