Column1;RefCode;IDCode;SiteCode.x;BatGenus;BatSpecies;CurrentBatSpecies;TrophicGuild;PlantFamily;PlantGenus;PlantSpecies;CurrentPlantSpecies;LifeForm;SuccessionalStage;Interaction;Weight;SiteCode.y;Locality;State;Country;Latitude;Longitude;Precision;YearStart;YearEnd;Duration;SamplingEffort;StudyType;EcologicalScale;SamplingMethod;SamplingSeason;Vegetation;VegType;Ecoregion;Domain;Elevation;X1kmAlt;AnnRain;MeaAnnTemp;PET;GAI
3;BPR002;BPI0003;BPA002;Platyrrhinus;Platyrrhinus lineatus;Platyrrhinus lineatus;Frugivore;Icacinaceae;Emmotum;Emmotum nitens;Emmotum nitens;Tree;NA;Frugivory;NA;BPA002;Embrapa Cerrados - Planaltina;Distrito Federal;Brazil;-15,6283333;-47,37083333;Precise;2004;2004;3;NA;Bat diet;Population;Roosting inspection ;Dry;NA;Savanna woodland;Cerrado;Cerrado;NA;885;1430;21.5;1547;0.9241
4;BPR003;BPI0004;BPA003;Artibeus;Artibeus fimbriatus;Artibeus fimbriatus;Frugivore;Piperaceae;Piper;Piper amalago;Piper amalago;Shrub;Early;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
5;BPR003;BPI0005;BPA003;Artibeus;Artibeus fimbriatus;Artibeus fimbriatus;Frugivore;Piperaceae;Piper;Piper crassinervium;Piper crassinervium;Shrub;Early;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
6;BPR003;BPI0006;BPA003;Artibeus;Artibeus fimbriatus;Artibeus fimbriatus;Frugivore;Unidentified;Unidentified;Unidentified sp.1;Unidentified sp.1;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
7;BPR003;BPI0007;BPA003;Artibeus;Artibeus lituratus;Artibeus lituratus;Frugivore;Urticaceae;Cecropia;Cecropia glaziovi;Cecropia glaziovii;Tree;Early;Frugivory;3;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
8;BPR003;BPI0008;BPA003;Artibeus;Artibeus lituratus;Artibeus lituratus;Frugivore;Urticaceae;Cecropia;Cecropia pachystachya;Cecropia pachystachya;Tree;Early;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
9;BPR003;BPI0009;BPA003;Artibeus;Artibeus lituratus;Artibeus lituratus;Frugivore;Unidentified;Unidentified;Unidentified sp.3;Unidentified sp.3;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
10;BPR003;BPI0010;BPA003;Artibeus;Artibeus lituratus;Artibeus lituratus;Frugivore;Unidentified;Unidentified;Unidentified sp.5;Unidentified sp.5;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
11;BPR003;BPI0011;BPA003;Artibeus;Artibeus obscurus;Artibeus obscurus;Frugivore;Urticaceae;Cecropia;Cecropia pachystachya;Cecropia pachystachya;Tree;Early;Frugivory;2;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
12;BPR003;BPI0012;BPA003;Artibeus;Artibeus obscurus;Artibeus obscurus;Frugivore;Piperaceae;Piper;Piper amalago;Piper amalago;Shrub;Early;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
